FUNDING_ZIP,INST_EXPECTED_TOTAL_AMOUNT,Latitude,Longitude
10027,44805182,40.81,-73.95
90089,40757278,33.79,-118.3
80301,39224328,40.04,-105.22
92093,34001450,33.02,-116.85
2543,25050702,41.53,-70.67
78713,22276212,30.47,-97.84
2139,20462449,42.36,-71.1
68588,15939176,40.82,-96.69
85721,15384559,32.23,-110.95
91125,15384175,33.79,-118.3
80305,13431749,39.98,-105.25
93106,10990125,34.43,-119.84
90095,10988330,33.79,-118.3
55455,10383488,44.97,-93.24
98195,10154718,47.43,-121.8
94305,9935890,37.43,-122.16
20192,9625176,38.83,-77.29
95064,9200677,37.0,-122.06
80309,9174927,40.09,-105.37
16802,9093106,40.81,-77.86
77005,9077904,29.72,-95.43
97331,8608755,44.57,-123.28
96822,8554977,21.31,-157.82
94704,8472571,37.87,-122.26
99709,8266958,64.85,-147.87
48109,8187390,42.29,-83.72
14850,8014628,42.45,-76.5
43210,7759216,40.0,-83.02
53715,7728075,43.06,-89.4
2138,6636701,42.38,-71.13
