Authors,Authors (Full Names),Beginning Page,DOI,ISSN,Journal Title (Full),New ISI Keywords,Original Keywords,Publication Year,Research Field,Times Cited,Title,Unique ID,Version Number,Volume,PM,File Name,Cite Me As
"Gong, T|Shuai, L","Gong, Tao|Shuai, Lan",4643,10.1098/rspb.2012.1431,0962-8452,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,EVOLUTION |PROTOLANGUAGE |EMERGENCE |COGNITION |COMMUNICATION |ADAPTATION |CATEGORIES |CHILDREN |ORIGIN |AUTISM,joint attention|language origin|coevolution|ratchet effect|computer simulation,2012,Biology|Ecology|Evolutionary Biology,8,Modelling the coevolution of joint attention and language,WOS:000310218400017,1,279,22977146,D:\Users\mginda\Desktop\savedrecs(10).txt,"Gong T, 2012, V279, P4643, DOI 10.1098/rspb.2012.1431"
"Johnson, RL|Eisler, ME","Johnson, Rebecca L.|Eisler, Morgan E.",336,10.1016/j.actpsy.2012.09.013,0001-6918,ACTA PSYCHOLOGICA,EYE-MOVEMENT CONTROL |LEXICAL ACCESS |SERIAL-POSITION |INFORMATION-INTEGRATION |HEMISPHERIC-SPECIALIZATION |ORTHOGRAPHIC FAMILIARITY |FIXATION LOCATIONS |LETTER RECOGNITION |SELECTIVE-MASKING |SPACE INFORMATION,Exterior letters|Reading|Eye-movements|Transposed-letters|Crowding,2012,"Psychology, Experimental",8,The importance of the first and last letter in words during sentence reading,WOS:000311774100008,1,141,23089042,D:\Users\mginda\Desktop\savedrecs(10).txt,"Johnson RL, 2012, V141, P336, DOI 10.1016/j.actpsy.2012.09.013"
"Louwerse, MM|Benesh, N","Louwerse, Max M.|Benesh, Nick",1556,10.1111/cogs.12000,0364-0213,COGNITIVE SCIENCE,COGNITIVE MAPS |ENVIRONMENTS |KNOWLEDGE |MODEL |PERSPECTIVE |NAVIGATION |JUDGMENTS,Spatial cognition|Embodied cognition|Geographical structures|Cognitive maps|Mental representations|Symbol interdependency|Latent semantic analysis,2012,"Psychology, Experimental",5,Representing Spatial Structure Through Maps and Language: Lord of the Rings Encodes the Spatial Structure of Middle Earth,WOS:000310603000010,1,36,23033971,D:\Users\mginda\Desktop\savedrecs(10).txt,"Louwerse MM, 2012, V36, P1556, DOI 10.1111/cogs.12000"
"Johnson, RL|Staub, A|Fleri, AM","Johnson, Rebecca L.|Staub, Adrian|Fleri, Amanda M.",1773,10.1037/a0028222,0278-7393,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-LEARNING MEMORY AND COGNITION,VISUAL WORD RECOGNITION |RESPONSE-TIME DISTRIBUTIONS |EYE FIXATION DURATIONS |LEXICAL DECISION |FREQUENCY |MODEL |MOVEMENT |IDENTIFICATION |STATISTICS |ORDER,reading|transposed letters|neighborhood effects|ex-Gaussian distribution,2012,"Psychology|Psychology, Experimental",4,Distributional Analysis of the Transposed-Letter Neighborhood Effect on Naming Latency,WOS:000310126200021,1,38,22563634,D:\Users\mginda\Desktop\savedrecs(10).txt,"Johnson RL, 2012, V38, P1773, DOI 10.1037/a0028222"
"Takac, M|Benuskova, L|Knott, A","Takac, Martin|Benuskova, Lubica|Knott, Alistair",288,10.1016/j.cognition.2012.06.006,0010-0277,COGNITION,VISUAL OBJECT RECOGNITION |MIRROR NEURON SYSTEM |PREMOTOR CORTEX |PREFRONTAL CORTEX |TEMPORAL CORTEX |REPRESENTATIONS |MOTOR |MECHANISMS |MOVEMENT |COGNITION,Sentence generation|Neural networks|Language acquisition|Embodied cognition,2012,"Psychology, Experimental",4,Mapping sensorimotor sequences to word sequences: A connectionist model of language acquisition and sentence generation,WOS:000309949300012,1,125,22863413,D:\Users\mginda\Desktop\savedrecs(10).txt,"Takac M, 2012, V125, P288, DOI 10.1016/j.cognition.2012.06.006"
"Minai, U|Jincho, N|Yamane, N|Mazuka, R","Minai, Utako|Jincho, Nobuyuki|Yamane, Naoto|Mazuka, Reiko",919,10.1017/S0305000911000316,0305-0009,JOURNAL OF CHILD LANGUAGE,CARD SORT TASK |SPEECH-PERCEPTION |SPOKEN LANGUAGE |YOUNG-CHILDREN |INHIBITION |MEMORY |MIND,,2012,"Psychology, Developmental|Linguistics|Psychology, Experimental",4,What hinders child semantic computation: children's universal quantification and the development of cognitive control,WOS:000309726900001,1,39,22182242,D:\Users\mginda\Desktop\savedrecs(10).txt,"Minai U, 2012, V39, P919, DOI 10.1017/S0305000911000316"
"Bell, E|Seidel, BM","Bell, Erica|Seidel, Bastian M.",,10.1186/1471-2458-12-932,1471-2458,BMC PUBLIC HEALTH,DISCOURSE ANALYSIS |PUBLIC-POLICY |PRIMARY-CARE |P-VALUES |MAKERS |MEDICINE |SERVICES |PERSPECTIVE |LEXIMANCER |RESOURCES,Evidence translation|Evidence-practice divide|Evidence for policy|Local community health research,2012,"Public, Environmental & Occupational Health",2,The evidence-policy divide: a 'critical computational linguistics' approach to the language of 18 health agency CEOs from 9 countries,WOS:000312002900001,1,12,23110541,D:\Users\mginda\Desktop\savedrecs(10).txt,"Bell E, 2012, V12, DOI 10.1186/1471-2458-12-932"
"Rohrmeier, M|Fu, QF|Dienes, Z","Rohrmeier, Martin|Fu, Qiufang|Dienes, Zoltan",,10.1371/journal.pone.0045885,1932-6203,PLOS ONE,ARTIFICIAL GRAMMAR |NONADJACENT DEPENDENCIES |UNCONSCIOUS KNOWLEDGE |LANGUAGE-ACQUISITION |SYNTACTIC STRUCTURES |8-MONTH-OLD INFANTS |SUBJECTIVE MEASURES |WORD SEGMENTATION |ORDER |BRAIN,,2012,Multidisciplinary Sciences,9,Implicit Learning of Recursive Context-Free Grammars,WOS:000310050200006,1,7,23094021,D:\Users\mginda\Desktop\savedrecs(10).txt,"Rohrmeier M, 2012, V7, DOI 10.1371/journal.pone.0045885"
"Karlsson, F|van Doorn, J","Karlsson, Fredrik|van Doorn, Jan",2633,10.1121/1.4746025,0001-4966,JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA,AMYOTROPHIC-LATERAL-SCLEROSIS |SPEECH-INTELLIGIBILITY |PERCEPTUAL FINDINGS |PARKINSON-DISEASE |SPEAKING RATE |SPACE |DYSARTHRIA |SPEAKERS |MANIPULATIONS |INDIVIDUALS,,2012,Acoustics|Audiology & Speech-Language Pathology,1,Vowel formant dispersion as a measure of articulation proficiency,WOS:000309650600065,1,132,23039456,D:\Users\mginda\Desktop\savedrecs(10).txt,"Karlsson F, 2012, V132, P2633, DOI 10.1121/1.4746025"
"Kubler, S|Mohamed, E","Kuebler, Sandra|Mohamed, Emad",521,10.1017/S1351324911000325,1351-3249,NATURAL LANGUAGE ENGINEERING,,,2012,"Computer Science, Artificial Intelligence|Linguistics|Language & Linguistics",0,Part of speech tagging for Arabic,WOS:000311685900003,1,18,,D:\Users\mginda\Desktop\savedrecs(10).txt,"Kubler S, 2012, V18, P521, DOI 10.1017/S1351324911000325"
