Word,Level,Weight,Length,Start,End
cure,1,27.74002903,1,2009,2009
preg,1,20.28407745,1,2009,2009
nauseat,1,18.67048324,1,2009,2009
menstruel,1,14.90825986,1,2009,2009
puberti,1,14.21057441,1,2010,2010
menstrul,1,13.45418401,1,2009,2009
menstual,1,10.11257649,1,2009,2009
menstrat,1,6.522923478,1,2009,2009
nausiat,1,6.516192462,1,2012,2012
stumic,1,6.013712566,2,2011,2012
burrow,1,5.999501886,1,2012,2012
milki,1,5.890291783,1,2012,2012
trainer,1,5.648609133,2,2011,2012
crampz,1,5.630356681,1,2009,2009
backac,1,5.531975098,2,2011,2012
flu,1,5.453859613,1,2009,2009
meat,1,5.43230754,1,2009,2009
ammonia,1,5.345159591,1,2009,2009
tissu,1,5.280268486,1,2012,2012
blowd,1,5.246593367,1,2012,2012
fatigu,1,5.229957261,1,2009,2009
sport,1,5.206475584,1,2009,2009
killer,1,5.137889063,1,2009,2009
mucus,1,5.053583325,1,2012,2012
childbirth,1,5.026285524,1,2009,2009
bruis,1,4.75092337,1,2009,2009
swine,1,4.733191921,1,2009,2009
suicid,1,4.722140936,2,2011,2012
honey,1,4.70649073,1,2012,2012
hurttin,1,4.612143642,2,2011,2012
