Word,Level,Weight,Length,Start,End
implent,1,2.6492544594348573,2,2011,
muenstral,1,3.0278660154036388,1,2009,2009
lebenu,1,1.9891225278330207,2,2009,2010
g,1,2.357801438324472,1,2009,2009
h,1,2.305372944318913,1,2009,2009
j,1,2.959981798609249,1,2010,2010
m,1,3.9448645396962974,1,2009,2009
o,1,3.1320175149430227,1,2009,2009
v,1,3.526822650524478,1,2009,2009
skyle,1,1.7295074254755063,2,2011,
jjq&trb,1,6.731497318032426,1,2009,2009
stumic,1,6.013712565523711,2,2011,
childbirth,1,5.026285523832737,1,2009,2009
whyme,1,3.590470662304555,1,2009,2009
fluf,1,2.3060222844012985,2,2011,
fatter,1,1.798105714793576,1,2009,2009
flyy,1,3.0597195758075495,1,2009,2009
iloveemili,1,1.6276933933100057,1,2012,
actual,1,3.4331988123223667,1,2009,2009
gizmo,1,1.615811844738849,1,2010,2010
andrea&scott,1,1.6276933933100057,1,2012,
kramer,1,1.7295074254755063,2,2011,
gland,1,1.9456703099827317,1,2010,2010
enter,1,2.330639941120059,2,2011,
steroid,1,2.5933276502376916,1,2012,
goodman,1,2.7128375813222405,1,2012,
indomethacin,1,1.6276933933100057,1,2012,
o8ten2k1o,1,1.6492573325757345,1,2010,2010
dgaf,1,1.9011171148363797,2,2011,
sunshin,1,1.8850922157163907,1,2009,2009
utera,1,2.261087903010534,1,2012,
2.5.12,1,1.6276933933100057,1,2012,
main,1,1.7136871158039977,1,2009,2009
strip,1,2.684157748645995,1,2012,
rella,1,3.958821863899641,1,2009,2009
salvador,1,1.6492573325757345,1,2010,2010
puffi,1,1.7185110409273947,1,2012,
baka,1,1.6276933933100057,1,2012,
02,1,2.0196805450402096,1,2012,
05,1,2.940827655023148,1,2009,2009
09,1,3.511531587837708,2,2009,2010
0f,1,3.7646104672915177,1,2009,2009
0n,1,2.170599837067103,1,2010,2010
raaachel,1,2.017764080913615,2,2011,
34,1,12.889741556668454,1,2012,
35,1,4.419848824310403,1,2012,
36,1,4.209393335037046,1,2012,
38,1,10.362954415386067,1,2012,
39,1,12.437859524798863,1,2012,
mano,1,1.9456703099827317,1,2010,2010
2b,1,4.1544278897681135,1,2010,2010
stan,1,7.916844241559655,1,2010,2010
10.11.09,1,1.6492573325757345,1,2010,2010
love'n,1,2.6388332598378756,1,2010,2010
3michael4alway,1,1.6276933933100057,1,2012,
3a,1,2.5719512764747483,1,2010,2010
3k,1,1.979114181002938,1,2010,2010
3o,1,2.328859934379817,1,2009,2009
barf,1,2.1664413982234487,1,2009,2009
3s,1,3.677538951574519,1,2009,2009
3u,1,2.5144730244311075,1,2009,2009
3x,1,2.5385092217221104,1,2010,2010
3y,1,4.450871788140999,1,2010,2010
3z,1,2.594282035905893,2,2011,
mare,1,1.7295074254755063,2,2011,
marc,1,2.0196805450402096,1,2012,
step,1,2.5957049343178555,1,2012,
85,1,1.6492573325757345,1,2010,2010
dosn't,1,1.6492573325757345,1,2010,2010
johnthed,1,1.6276933933100057,1,2012,
stil,1,2.7146326281819926,1,2009,2009
live.love.luck,1,2.447768736467225,1,2009,2009
morena,1,1.6492573325757345,1,2010,2010
spell,1,2.221515961025582,1,2009,2009
uawsomeu,1,3.0597195758075495,1,2009,2009
somtim,1,2.0040209410853755,1,2009,2009
080409,1,2.3089728233913016,1,2010,2010
blowjob,1,1.615811844738849,1,2010,2010
mayhew,1,1.83582135925006,1,2009,2009
staunch,1,1.6276933933100057,1,2012,
faint,1,3.0017707244591847,1,2012,
tinkerbel,1,2.940827655023148,1,2009,2009
10_01/11,1,1.6276933933100057,1,2012,
ailycw,1,1.83582135925006,1,2009,2009
escap,1,1.9011171148363797,2,2011,
martin,1,2.5719512764747483,1,2010,2010
springfield,1,1.6492573325757345,1,2010,2010
ad.b.l,1,1.6276933933100057,1,2012,
lovejoey,1,2.7128375813222405,1,2012,
k.dawg,1,2.3089728233913016,1,2010,2010
jrl.02/02/11,1,2.017764080913615,2,2011,
minster,1,1.9076189927565732,1,2010,2010
cervix,1,2.917688021761826,1,2012,
a&,1,5.968343391560051,1,2012,
a3,1,2.9018167407139,1,2010,2010
b0,1,2.605392622527707,1,2010,2010
b4,1,3.428301091228004,1,2009,2009
c.jame,1,1.7295074254755063,2,2011,
aa,1,2.659974510063493,2,2009,2010
ak,1,2.1893764431219935,2,2011,
extend,1,2.9877342294166516,1,2012,
ar,1,4.580145064473587,1,2010,2010
h1n1,1,1.83582135925006,1,2009,2009
br,1,4.539043255811578,1,2009,2009
foor,1,1.615811844738849,1,2010,2010
ch,1,2.7878448241535025,2,2009,2010
cj,1,2.471622985860871,1,2010,2010
cl,1,1.9122257302321803,1,2010,2010
cp,1,2.017764080913615,2,2011,
cw,1,5.415339369872756,2,2011,
da,1,7.841426161668229,1,2009,2009
scare,1,2.3085196023211783,1,2009,2009
do,1,2.5721317289147834,1,2009,2009
dy,1,2.2755305692474304,1,2010,2010
ea,1,2.505066458169763,1,2010,2010
ed,1,3.7911150106730025,1,2010,2010
ee,1,1.979114181002938,1,2010,2010
el,1,2.2709472666286317,1,2010,2010
em,1,2.6919553668448977,1,2010,2010
er,1,1.9093724407622936,1,2012,
eu,1,3.0597195758075495,1,2009,2009
ff,1,2.605392622527707,1,2010,2010
fw,1,2.3346577246689257,1,2009,2009
gf,1,7.908262665891943,1,2010,2010
dill,1,2.8036678170287335,1,2012,
dime,1,1.979114181002938,1,2010,2010
hi,1,4.0141136066085075,1,2009,2009
raevynn,1,1.7546136713529292,1,2009,2009
3ilyi,1,4.288162352800899,1,2010,2010
iz,1,5.10619223857082,1,2010,2010
fetus,1,1.6094762313832254,1,2009,2009
jo,1,2.337842008470137,1,2010,2010
l3,1,2.232388410386438,1,2012,
jr,1,1.8403822545661006,1,2012,
ju,1,2.1751995542417157,1,2010,2010
ko,1,2.0196805450402096,1,2012,
3.20.12,1,3.797993976884766,1,2012,
ky,1,2.9461838188085463,2,2009,2010
3myhu,1,1.6492573325757345,1,2010,2010
la,1,9.411384824879894,1,2012,
wooden,1,2.170263961380424,1,2012,
n0,1,1.9122257302321803,1,2010,2010
lo,1,4.709414023894922,1,2010,2010
lu,1,10.067610396689886,2,2009,2010
ma,1,3.2338112615367933,1,2009,2009
mo,1,3.7269343867437863,1,2009,2009
mr,1,1.896631863522325,1,2009,2009
mz,1,5.025761376692083,2,2009,2010
cheerlead,1,2.6536912438659175,1,2009,2009
dish,1,2.3665625395255168,1,2009,2009
nh,1,4.283631640957008,1,2009,2009
nj,1,1.6734055032434858,1,2009,2009
nn,1,2.328859934379817,1,2009,2009
nw,1,1.6678181041533202,2,2011,
oh,1,5.137079130927983,1,2009,2009
3myle,1,7.206648600591482,2,2011,
oo,1,3.8352488135643634,2,2009,2010
q1,1,3.2651221112572575,1,2010,2010
q2,1,2.3089728233913016,1,2010,2010
q3,1,4.947906548643483,1,2010,2010
pd,1,2.162651845221372,2,2009,2010
ps,1,7.582664706115418,1,2010,2010
peaceuloveubasketbal,1,3.958292946039795,1,2010,2010
rl,1,3.433915202450268,1,2009,2009
rm,1,1.9011171148363797,2,2011,
ro,1,6.8269212208450405,1,2010,2010
chone,1,2.3089728233913016,1,2010,2010
sh,1,1.87931527330006,1,2009,2009
u1,1,2.3089728233913016,1,2010,2010
sp,1,4.37073147086903,1,2009,2009
ss,1,3.4715927921856284,1,2009,2009
sy,1,4.733191920752489,1,2009,2009
tk,1,2.6536912438659175,1,2009,2009
ua,1,3.036496963463532,2,2009,2010
ui,1,12.6448214584933,2,2009,2010
uk,1,2.204148704999636,1,2009,2009
ul,1,3.4810196014696513,2,2009,2010
uu,1,3.526822650524478,1,2009,2009
x3,1,3.9189649219884357,2,2011,
medicineu,1,2.6388332598378756,1,2010,2010
choic,1,6.788836982552505,1,2012,
previous,1,1.6587425318059537,1,2012,
xo,1,2.983715321703282,2,2009,2010
xx,1,1.7777334707281387,2,2011,
rland,1,1.83582135925006,1,2009,2009
creami,1,3.683389297454589,1,2012,
nibbler,1,2.110502895959213,1,2012,
snail,1,3.1048329982323137,1,2012,
panda,1,2.3609909101968256,2,2011,
justakiss,1,2.170263961380424,1,2012,
madhatt,1,1.979114181002938,1,2010,2010
appetiet,1,2.968695490316944,1,2010,2010
destinyleemartin,1,3.255414253153745,1,2012,
