Word,Level,Weight,Length,Start,End
medicin,1,12.76144286,1,2009,2009
menstral,1,11.00113915,1,2009,2009
midol,1,10.72764072,1,2009,2009
crampton,1,10.53034982,1,2009,2009
scrapp,1,9.017527685,1,2010,2010
truth,1,8.299789394,1,2009,2009
effect,1,8.141693029,1,2009,2009
singer,1,7.367365397,1,2009,2009
imodium,1,7.321776163,1,2012,2012
protect,1,7.149212795,1,2012,2012
cream,1,6.152111474,1,2009,2009
energi,1,6.022969372,1,2009,2009
crampon,1,5.910050584,1,2009,2009
blote,1,5.888500866,1,2009,2009
kati,1,5.65173783,1,2010,2010
allevi,1,5.642011607,1,2009,2009
skip,1,5.58846014,1,2012,2012
constip,1,5.485562682,1,2012,2012
appetit,1,5.299519856,1,2012,2012
coletrain,1,5.244467352,1,2009,2009
crampz,1,5.19126487,1,2010,2010
pineappl,1,5.164592016,1,2009,2009
method,1,5.157550669,1,2009,2009
lift,1,5.126995757,1,2009,2009
crampus,1,5.115257464,1,2009,2009
burp,1,5.09746115,1,2012,2012
sensit,1,5.065887842,1,2009,2009
findlay,1,5.009008466,1,2010,2010
tast,1,4.924177659,1,2012,2012
semen,1,4.880793609,1,2012,2012
tabi,1,4.828268909,2,2011,2012
09.24.10,1,4.828268909,2,2011,2012
counter,1,4.795449109,1,2009,2009
t&l,1,4.675017866,1,2010,2010
jackie1-13-10,1,4.675017866,1,2010,2010
calli,1,4.649800567,1,2012,2012
lu,1,4.501820048,1,2009,2009
sp,1,4.471304317,1,2009,2009
finish,1,4.402872567,1,2009,2009
work,1,4.346969659,1,2009,2009
r&j,1,4.274321425,1,2012,2012
ovul,1,4.240801533,1,2012,2012
d.s.k,1,4.184398546,2,2011,2012
hey,1,4.181844172,1,2009,2009
diagnosi,1,4.170394768,1,2009,2009
elder,1,4.134989994,2,2011,2012
manda,1,4.109416016,1,2009,2009
dad,1,4.085577441,2,2011,2012
swine,1,4.078927588,1,2009,2009
sjw,1,4.078927588,1,2009,2009
ecstaci,1,4.078927588,1,2009,2009
havnt,1,4.067102306,1,2010,2010
liquid,1,4.037185316,1,2010,2010
taken,1,4.02173828,1,2009,2009
enjoy,1,3.937315779,2,2011,2012
killer,1,3.903210614,1,2009,2009
notic,1,3.887887223,2,2011,2012
runnin,1,3.880467483,1,2010,2010
noel,1,3.862475041,2,2011,2012
3kayla,1,3.862475041,2,2011,2012
idea,1,3.819822273,1,2009,2009
blowd,1,3.813059704,2,2011,2012
pelvi,1,3.800651813,1,2009,2009
live,1,3.789365438,1,2009,2009
problem,1,3.784321047,1,2009,2009
cough,1,3.770201808,1,2009,2009
anna,1,3.747554224,1,2009,2009
alivia,1,3.739984425,1,2012,2012
alexxandrya,1,3.739984425,1,2012,2012
3wzb,1,3.739984425,1,2012,2012
band,1,3.720546138,1,2009,2009
uncomfort,1,3.710657322,1,2012,2012
hole,1,3.690132973,2,2011,2012
sum,1,3.557069133,1,2009,2009
stds,1,3.537584692,1,2012,2012
nausious,1,3.537584692,1,2012,2012
thehritzin,1,3.496179687,1,2009,2009
x,1,3.49579274,1,2010,2010
read,1,3.494042503,1,2012,2012
amp,1,3.47990039,1,2012,2012
heavier,1,3.396967215,1,2009,2009
track,1,3.396967215,1,2009,2009
feminin,1,3.366538299,1,2009,2009
dur,1,3.363278472,1,2012,2012
arch,1,3.347308232,1,2009,2009
p,1,3.343713096,1,2010,2010
bryan,1,3.339136482,1,2010,2010
3carolyn,1,3.339136482,1,2010,2010
weizberg,1,3.339136482,1,2010,2010
nausa,1,3.321003625,1,2012,2012
die,1,3.319722277,1,2009,2009
ilovemelissa,1,3.288477604,1,2010,2010
11th,1,3.263330571,1,2012,2012
aug,1,3.263330571,1,2012,2012
rectum,1,3.256045685,1,2009,2009
prescrib,1,3.225626073,1,2009,2009
love4-ev,1,3.21865138,2,2011,2012
o3,1,3.21865138,2,2011,2012
jrg,1,3.21865138,2,2011,2012
3o3,1,3.21865138,2,2011,2012
charli,1,3.212980563,1,2009,2009
lv,1,3.205660803,1,2012,2012
oragasm,1,3.205660803,1,2012,2012
zakey,1,3.205660803,1,2012,2012
fart,1,3.204293248,1,2012,2012
emili,1,3.19520708,1,2009,2009
god,1,3.19153502,1,2010,2010
rough,1,3.175961706,1,2009,2009
mommi,1,3.169222477,2,2011,2012
fulli,1,3.164788707,1,2009,2009
3i,1,3.119789573,2,2011,2012
flu,1,3.076527377,1,2009,2009
abdoman,1,3.074917709,1,2012,2012
ap,1,3.005186388,1,2010,2010
ciporah,1,3.005186388,1,2010,2010
funsiz,1,3.005186388,1,2010,2010
sort,1,3.004649477,1,2009,2009
persist,1,3.003197534,1,2012,2012
suffer,1,2.984294846,1,2010,2010
jon,1,2.979850897,1,2010,2010
menstrul,1,2.959499794,1,2009,2009
daniell,1,2.954512674,1,2010,2010
naseua,1,2.943846835,1,2009,2009
luv,1,2.924550373,1,2009,2009
headac,1,2.922017944,2,2011,2012
t.n.t,1,2.913446441,1,2009,2009
fanmwu,1,2.913446441,1,2009,2009
kay,1,2.903828036,1,2010,2010
311.15.09,1,2.896751225,2,2011,2012
chevi,1,2.896751225,2,2011,2012
jonathan&meghyn,1,2.896751225,2,2011,2012
know,1,2.871459036,1,2009,2009
mec,1,2.847315539,2,2011,2012
ad,1,2.844288209,1,2012,2012
c,1,2.825049808,1,2009,2009
pregenc,1,2.823108114,2,2011,2012
spotti,1,2.786639043,1,2012,2012
fact,1,2.753276971,1,2009,2009
infect,1,2.733691016,1,2012,2012
menstraul,1,2.709007897,1,2009,2009
gonna,1,2.705891272,1,2009,2009
remov,1,2.703538938,1,2009,2009
dy,1,2.67135056,1,2012,2012
taff,1,2.67135056,1,2012,2012
sfr,1,2.67135056,1,2012,2012
trr,1,2.67135056,1,2012,2012
74w3stside74,1,2.671244393,1,2010,2010
leifer,1,2.671244393,1,2010,2010
comment,1,2.671244393,1,2010,2010
sandra&kyl,1,2.671244393,1,2010,2010
sweet,1,2.642787166,1,2009,2009
relat,1,2.625625446,1,2009,2009
lump,1,2.612412199,1,2009,2009
newberg,1,2.607111708,2,2011,2012
ili,1,2.603512521,1,2010,2010
ne,1,2.582037845,1,2009,2009
pizzichillo,1,2.574858851,2,2011,2012
j@i,1,2.574858851,2,2011,2012
scb,1,2.574858851,2,2011,2012
hiara,1,2.574858851,2,2011,2012
3-msc,1,2.574858851,2,2011,2012
10/24/2010,1,2.574858851,2,2011,2012
kenni,1,2.574858851,2,2011,2012
luvin,1,2.574858851,2,2011,2012
soap,1,2.574111408,1,2010,2010
arous,1,2.56985637,1,2010,2010
question,1,2.554113454,1,2009,2009
chelsea,1,2.544502535,1,2010,2010
consum,1,2.53229445,1,2009,2009
lock,1,2.53229445,1,2009,2009
signifi,1,2.53229445,1,2009,2009
jaw,1,2.525701207,1,2009,2009
claim,1,2.512460935,1,2012,2012
interior,1,2.501928165,1,2009,2009
lux,1,2.501928165,1,2009,2009
minstrel,1,2.496744784,1,2012,2012
iv,1,2.476797575,2,2011,2012
proven,1,2.471562492,1,2009,2009
ligament,1,2.471562492,1,2009,2009
sinus,1,2.471562492,1,2009,2009
serious,1,2.468823758,1,2012,2012
thank,1,2.432702028,1,2009,2009
practic,1,2.428324979,2,2009,2010
cervix,1,2.392322127,1,2010,2010
floor,1,2.37706497,2,2011,2012
diarhea,1,2.371999942,1,2009,2009
complet,1,2.371999942,1,2009,2009
lee,1,2.36753511,1,2012,2012
word,1,2.363305549,1,2009,2009
medican,1,2.361084229,1,2009,2009
superman,1,2.361084229,1,2009,2009
purpl,1,2.361084229,1,2009,2009
messag,1,2.361084229,1,2009,2009
navel,1,2.361084229,1,2009,2009
ty,1,2.353567125,1,2012,2012
nausiat,1,2.353567125,1,2012,2012
