language,id,text,documents.id,documents.score
en,1,What causes menstrual cramps?,1,0.0549329817
en,2,What causes period cramps,2,0.054808259
en,3,How do you get rid of cramps?,3,0.0895146728
en,4,What is dysmenorrhea,4,0.1986003816
en,5,What is Dysmenorrhea?,5,0.2883099318
en,6,What are cramps?,6,0.0083152354
en,7,How can you get rid of period cramps?,7,0.1114136279
en,8,Whats the best way to get rid of cramps?,8,0.1891030073
en,9,Why am i having random cramps but no period?,9,0.0213529766
en,10,If a woman has cramps when she gets her period when she is pregnant does she still feel crampy?,10,0.0117006898
en,11,Is it normal to have cramping during pregnancy?,11,0.7157512903
en,12,What are cramps,12,0.0083152354
en,13,Are bananas really good for cramps?,13,0.225204736
en,14,What is a cramp?,14,0.0405677557
en,15,Is it normal to have cramps while pregnant?,15,0.1240268946
en,16,What are natural remedies to menstrual cramps?,16,0.1967505515
en,17,What's the best way to get rid of cramps,17,0.206458509
en,18,Whats the best thing to do for period cramps?,18,0.16934219
en,19,What help menstrural cramps?,19,0.0555008948
en,20,What causes cramping?,20,0.2646089792
en,21,Do you get cramps when your pregnant?,21,0.0648959279
en,22,what is a good way to relieve menstrual cramps?,22,0.2442706525
en,23,Why do women get menstrual cramps,23,0.0750212967
en,24,"What causes nausea, vomitting, cramping and gas",24,0.1212340593
en,25,What helps ease cramps?,25,0.120100379
en,26,What do period cramps feel like?,26,0.0669058263
en,27,Why do cramps hurt so much,27,0.0352998674
en,28,what can you do to make cramps go away,28,0.0775691569
en,29,whats the best way to get rid of menstral cramps?,29,0.1816783845
en,30,What can i do for period cramps?,30,0.1457230449
en,31,What causes cramps during pregnancy?,31,0.1206656694
en,32,Is it normal to get cramps while pregnant?,32,0.1823322773
en,33,What makes your stomach cramp up when you have to poop and you do Mrs.Castagno,33,0.0466171503
en,34,What a natural cure for menstural cramps?,34,0.8234599829
en,35,LuLu when your pregnant can you still cramp around the time that you would normally have your period before you got pregnant?,35,0.2379925847
en,36,can you still get cramps when you're pregnant?,36,0.0636321604
en,37,What can i do to make my period cramps go away?,37,0.0836139619
en,38,Does marijuana help you with cramps?,38,0.0360045135
